SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
50,3,6,47,41,Tennessee,DeKalb County,20078,20187,20478,21003,109,291,525,67,245,255,73,332,340,-6,-87,-85,0,13,26,125,372,558,125,385,584,-10,-7,26,173,173,159,173,12.0496742,12.2947856,16.3285381,16.3930474,-4.2788639,-4.0982619,0.63937047,1.25358598,18.2958318,26.9038837,18.9352023,28.1574697
50,3,6,47,43,Tennessee,Dickson County,54314,54442,55174,55761,128,732,587,148,612,637,160,704,743,-12,-92,-106,0,7,14,143,827,673,143,834,687,-3,-10,6,766,765,644,752,11.1662531,11.4842025,12.8448402,13.3952314,-1.6785871,-1.911029,0.12771858,0.25240005,15.0890381,12.1332312,15.2167567,12.3856312
50,3,6,47,45,Tennessee,Dyer County,36803,36709,36586,36410,-94,-123,-176,109,472,483,127,634,645,-18,-162,-162,0,0,-5,-77,15,11,-77,15,6,1,24,-20,487,487,426,487,12.8794597,13.2336018,17.2999522,17.6722012,-4.4204925,-4.4385994,0,-0.1369938,0.40930486,0.30138638,0.40930486,0.16439257
50,3,6,47,47,Tennessee,Fayette County,42002,42151,42899,43630,149,748,731,84,410,429,122,554,567,-38,-144,-138,0,3,-3,207,920,854,207,923,851,-20,-31,18,536,538,499,444,9.64138742,9.91575079,13.0276308,13.1054329,-3.3862434,-3.1896821,0.07054674,-0.0693409,21.6343327,19.739047,21.7048795,19.6697061
50,3,6,47,49,Tennessee,Fentress County,18489,18533,18837,19332,44,304,495,35,189,189,72,352,374,-37,-163,-185,0,0,3,86,483,652,86,483,655,-5,-16,25,295,295,263,230,10.1150656,9.90332469,18.8386406,19.5970552,-8.7235751,-9.6937305,0,0.15719563,25.849612,34.1638502,25.849612,34.3210459
50,3,6,47,51,Tennessee,Franklin County,42769,42839,43247,43942,70,408,695,95,432,446,121,646,658,-26,-214,-212,0,15,37,93,613,847,93,628,884,3,-6,23,2097,2098,2042,2102,10.0364752,10.2306484,15.0082476,15.0936471,-4.9717724,-4.8629988,0.34848872,0.84873092,14.2415724,19.4290564,14.5900611,20.2777873
50,3,6,47,53,Tennessee,Gibson County,50409,50436,50537,50837,27,101,300,117,552,579,156,912,934,-39,-360,-355,0,10,23,53,436,636,53,446,659,13,15,-4,938,938,895,887,10.9336159,11.4230473,18.064235,18.4268156,-7.1306191,-7.0037682,0.19807275,0.45376527,8.63597199,12.547596,8.83404474,13.0013613
50,3,6,47,55,Tennessee,Giles County,30344,30340,30403,30554,-4,63,151,64,293,299,113,518,522,-49,-225,-223,0,4,13,40,276,366,40,280,379,5,8,-5,848,848,743,756,9.64720215,9.81019407,17.0554632,17.1268271,-7.408261,-7.316633,0.13170242,0.42653018,9.08746687,12.008465,9.21916929,12.4349952
50,3,6,47,57,Tennessee,Grainger County,23527,23563,23833,24277,36,270,444,54,236,241,80,392,398,-26,-156,-157,1,5,10,63,429,565,64,434,575,-2,-8,26,178,178,178,167,9.9586463,10.0187071,16.5414803,16.5454168,-6.582834,-6.5267096,0.21098827,0.41571399,18.1027935,23.4878404,18.3137818,23.9035544
50,3,6,47,59,Tennessee,Greene County,70152,70333,70603,71405,181,270,802,170,630,653,217,1238,1283,-47,-608,-630,0,14,26,236,860,1368,236,874,1394,-8,4,38,2129,2125,2042,2062,8.94022819,9.19666498,17.5682579,18.0694045,-8.6280297,-8.8727396,0.19867174,0.36617655,12.204121,19.2665202,12.4027928,19.6326967
50,3,6,47,61,Tennessee,Grundy County,13525,13539,13586,13783,14,47,197,37,166,168,61,249,256,-24,-83,-88,0,0,-2,39,129,277,39,129,275,-1,1,10,194,194,173,181,12.2396313,12.2766634,18.359447,18.7072966,-6.1198157,-6.4306332,0,-0.1461508,9.51152074,20.2418795,9.51152074,20.0957287
50,3,6,47,63,Tennessee,Hamblen County,64500,64537,64390,65168,37,-147,778,168,728,751,222,1113,1130,-54,-385,-379,1,15,41,76,189,1099,77,204,1140,14,34,17,577,577,513,513,11.2932124,11.5932632,17.2655844,17.4439247,-5.972372,-5.8506615,0.23268982,0.63292116,2.93189169,16.9653746,3.16458151,17.5982957
50,3,6,47,65,Tennessee,Hamilton County,366215,367242,369027,374682,1027,1785,5655,1054,4337,4492,991,4544,4574,63,-207,-82,10,185,492,972,1624,5100,982,1809,5592,-18,183,145,8882,8879,8040,8178,11.7810203,12.0799937,12.3433147,12.30051,-0.5622945,-0.2205164,0.50253372,1.32309815,4.41143115,13.7150418,4.91396487,15.0381399
